hotel_amenity_id,hotel_id,amenity_id,is_free,note,updated_at
ham_06ccbf27,htl_06d140bd,amn_83f80abf,1,,2026-08-18T10:00:00+05:30
ham_9f1f4896,htl_06d140bd,amn_53871212,1,Subject to availability,2026-08-18T10:00:00+05:30
ham_2c4f5895,htl_06d140bd,amn_f74ad76b,1,,2026-08-18T10:00:00+05:30
ham_34ff8fcf,htl_06d140bd,amn_aa21d3e3,1,,2026-08-18T10:00:00+05:30
ham_3e920b09,htl_06d140bd,amn_1c1f3c38,1,,2026-08-18T10:00:00+05:30
ham_e79f3a9e,htl_06d140bd,amn_8085a200,0,,2026-08-18T10:00:00+05:30
ham_4387e3d3,htl_06d140bd,amn_0aa5eef9,0,,2026-08-18T10:00:00+05:30
ham_5d32b3cb,htl_06d140bd,amn_5fb5d136,0,,2026-08-18T10:00:00+05:30
ham_a6ad3857,htl_d8608c0c,amn_aa21d3e3,0,,2026-08-18T10:00:00+05:30
ham_5152f087,htl_d8608c0c,amn_d096bc01,0,,2026-08-18T10:00:00+05:30
ham_1b345d8b,htl_d8608c0c,amn_5738f1cd,0,,2026-08-18T10:00:00+05:30
ham_66535cea,htl_d8608c0c,amn_7f076f1d,0,,2026-08-18T10:00:00+05:30
ham_d8a7e9ad,htl_d8608c0c,amn_e53b2ad3,1,,2026-08-18T10:00:00+05:30
ham_124915fa,htl_d8608c0c,amn_23d9dfe3,0,Subject to availability,2026-08-18T10:00:00+05:30
ham_83e2a55a,htl_d8608c0c,amn_aab90d56,1,,2026-08-18T10:00:00+05:30
ham_8bb5a3f4,htl_d8608c0c,amn_088a3bd3,0,,2026-08-18T10:00:00+05:30
ham_6ab0342a,htl_51d644a1,amn_702292f3,1,,2026-08-18T10:00:00+05:30
ham_890b4a7e,htl_51d644a1,amn_cad0c333,1,,2026-08-18T10:00:00+05:30
ham_6b3bc84b,htl_51d644a1,amn_989b97b0,1,,2026-08-18T10:00:00+05:30
ham_4b068698,htl_51d644a1,amn_f133f52a,1,,2026-08-18T10:00:00+05:30
ham_37fd2b17,htl_51d644a1,amn_10f24325,1,,2026-08-18T10:00:00+05:30
ham_99d1c52e,htl_51d644a1,amn_0aa5eef9,1,,2026-08-18T10:00:00+05:30
ham_2d714c93,htl_51d644a1,amn_e53b2ad3,1,,2026-08-18T10:00:00+05:30
ham_2453d247,htl_51d644a1,amn_855119e6,0,,2026-08-18T10:00:00+05:30
ham_a19754b2,htl_34e56f8c,amn_86167843,1,,2026-08-18T10:00:00+05:30
ham_2a50f694,htl_34e56f8c,amn_aab90d56,1,,2026-08-18T10:00:00+05:30
ham_94b66c34,htl_34e56f8c,amn_6b7b205c,1,,2026-08-18T10:00:00+05:30
ham_0b6e1551,htl_34e56f8c,amn_e50effef,0,,2026-08-18T10:00:00+05:30
ham_7d9249dd,htl_34e56f8c,amn_f133f52a,1,,2026-08-18T10:00:00+05:30
ham_b26e7d0f,htl_34e56f8c,amn_097715f3,1,,2026-08-18T10:00:00+05:30
ham_06379195,htl_34e56f8c,amn_23d9dfe3,1,,2026-08-18T10:00:00+05:30
ham_cb6a1b9b,htl_34e56f8c,amn_4690aa77,0,,2026-08-18T10:00:00+05:30
ham_4d229c58,htl_a4a12699,amn_83f80abf,1,,2026-08-18T10:00:00+05:30
ham_ec746021,htl_a4a12699,amn_4690aa77,1,,2026-08-18T10:00:00+05:30
ham_226c3f8f,htl_a4a12699,amn_864b82ad,1,,2026-08-18T10:00:00+05:30
ham_de49d338,htl_a4a12699,amn_8085a200,1,,2026-08-18T10:00:00+05:30
