policy_id,hotel_id,child_policy,pet_policy,extra_bed_policy,extra_bed_charge,extra_bed_currency,payment_methods,airport_pickup,early_checkin_possible,accessibility_notes,updated_at
hpo_a4804264,htl_06d140bd,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,"Pet friendly throughout, including the restaurant terrace.",Extra beds available in suites only.,,,"upi,netbanking,card",1,0,Two steps at the entrance and no lift — not suitable for wheelchair users.,2026-08-18T10:00:00+05:30
hpo_44b65197,htl_d8608c0c,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,Small pets under 10kg permitted in ground-floor rooms with prior notice.,Extra beds available in suites only.,,,"netbanking,card",1,1,Two steps at the entrance and no lift — not suitable for wheelchair users.,2026-08-18T10:00:00+05:30
hpo_467ce4dd,htl_51d644a1,"Children of all ages welcome. One child under 5 free per room, cot on request.",Pets are not permitted.,"One extra bed per room, chargeable.",1372.00,INR,"card,netbanking,upi",0,1,Step-free entry from the car park; one accessible bathroom on the ground floor.,2026-08-18T10:00:00+05:30
hpo_9b91072f,htl_34e56f8c,"Children of all ages welcome. One child under 5 free per room, cot on request.",Small pets under 10kg permitted in ground-floor rooms with prior notice.,"One extra bed per room, chargeable.",713.00,INR,"upi,netbanking,wallet",0,1,Two steps at the entrance and no lift — not suitable for wheelchair users.,2026-08-18T10:00:00+05:30
hpo_061cbc4d,htl_a4a12699,"Children of all ages welcome. One child under 5 free per room, cot on request.","Pet friendly throughout, including the restaurant terrace.",Extra beds available in suites only.,2010.00,INR,"netbanking,card,upi",0,0,Lift serves all floors; accessible bathroom in rooms 101 and 102.,2026-08-18T10:00:00+05:30
hpo_86b34056,htl_aacfaa8f,"Children of all ages welcome. One child under 5 free per room, cot on request.","Pet friendly throughout, including the restaurant terrace.",Extra beds available in suites only.,1771.00,INR,"netbanking,wallet,upi",0,1,,2026-08-18T10:00:00+05:30
hpo_7b364a93,htl_82a0debc,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,"Pet friendly throughout, including the restaurant terrace.","One extra bed per room, chargeable.",,,"card,wallet",1,1,Step-free entry from the car park; one accessible bathroom on the ground floor.,2026-08-18T10:00:00+05:30
hpo_0038bc4e,htl_e64a06ef,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,"Pet friendly throughout, including the restaurant terrace.","One extra bed per room, chargeable.",2173.00,INR,"wallet,upi",0,1,Two steps at the entrance and no lift — not suitable for wheelchair users.,2026-08-18T10:00:00+05:30
hpo_e9d75e73,htl_f4edf35d,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,Pets are not permitted.,Extra beds available in suites only.,1110.00,INR,"netbanking,upi",0,1,Lift serves all floors; accessible bathroom in rooms 101 and 102.,2026-08-18T10:00:00+05:30
hpo_13b39326,htl_6c7be3f3,Suitable for children over 8 only; the property has open stairwells and a plunge pool.,Pets are not permitted.,"One extra bed per room, chargeable.",678.00,INR,"wallet,netbanking,upi,card",1,0,Two steps at the entrance and no lift — not suitable for wheelchair users.,2026-08-18T10:00:00+05:30
hpo_3a9a12f4,htl_9191e906,Children under 6 stay free using existing bedding; 6-12 charged at 50% with breakfast.,Pets are not permitted.,"One extra bed per room, chargeable.",1475.00,INR,"wallet,card,upi",0,1,Lift serves all floors; accessible bathroom in rooms 101 and 102.,2026-08-18T10:00:00+05:30
hpo_85499bb6,htl_16ca75ac,"Children of all ages welcome. One child under 5 free per room, cot on request.",Small pets under 10kg permitted in ground-floor rooms with prior notice.,"One extra bed per room, chargeable.",866.00,INR,"upi,card",0,1,Two steps at the entrance and no lift — not suitable for wheelchair users.,2026-08-18T10:00:00+05:30
