rate_plan_id,room_type_id,plan_type,name,price_delta,currency,cancellation_window_hours,cancellation_penalty_pct,includes_breakfast,min_stay_nights,status,updated_at
rtp_f15c86d0,rmt_d3c6ad86,non_refundable,Non Refundable,-719.91,INR,0,100,0,1,active,2026-08-18T10:00:00+05:30
rtp_aa06f4c0,rmt_d3c6ad86,long_stay,Long Stay,-1079.87,INR,72,0,0,3,active,2026-08-18T10:00:00+05:30
rtp_9eae0621,rmt_79ee35e1,long_stay,Long Stay,-1349.84,INR,48,25,0,3,active,2026-08-18T10:00:00+05:30
rtp_d90ddebc,rmt_79ee35e1,full_board,Full Board,2519.70,INR,24,10,1,1,active,2026-08-18T10:00:00+05:30
rtp_36a9a2a3,rmt_654f0c33,long_stay,Long Stay,-1727.79,INR,24,0,0,3,active,2026-08-18T10:00:00+05:30
rtp_3369d6f0,rmt_654f0c33,half_board,Half Board,2073.35,INR,48,25,1,1,active,2026-08-18T10:00:00+05:30
rtp_517f1aa7,rmt_dc3186dc,long_stay,Long Stay,-2375.72,INR,48,0,0,3,active,2026-08-18T10:00:00+05:30
rtp_19ab84a5,rmt_dc3186dc,half_board,Half Board,2850.86,INR,24,0,1,1,active,2026-08-18T10:00:00+05:30
rtp_58b94d8c,rmt_6499086b,non_refundable,Non Refundable,-177.55,INR,0,100,0,1,active,2026-08-18T10:00:00+05:30
rtp_1c92eac2,rmt_6499086b,long_stay,Long Stay,-266.33,INR,48,10,0,3,active,2026-08-18T10:00:00+05:30
rtp_d323e650,rmt_b7b6d115,breakfast_included,Breakfast Included,177.55,INR,48,0,1,1,active,2026-08-18T10:00:00+05:30
rtp_b174ab12,rmt_b7b6d115,full_board,Full Board,621.44,INR,24,0,1,1,active,2026-08-18T10:00:00+05:30
rtp_8c26296b,rmt_02c452c7,half_board,Half Board,511.36,INR,72,10,1,1,active,2026-08-18T10:00:00+05:30
rtp_427ff980,rmt_02c452c7,refundable,Refundable,340.90,INR,48,0,0,1,active,2026-08-18T10:00:00+05:30
rtp_8bfa0923,rmt_4f3886f8,half_board,Half Board,703.12,INR,48,25,1,1,active,2026-08-18T10:00:00+05:30
rtp_3f420e21,rmt_4f3886f8,full_board,Full Board,1093.74,INR,48,25,1,1,active,2026-08-18T10:00:00+05:30
rtp_afadd9cf,rmt_4d69cd72,breakfast_included,Breakfast Included,229.58,INR,72,10,1,1,active,2026-08-18T10:00:00+05:30
rtp_7d3c0886,rmt_4d69cd72,refundable,Refundable,344.36,INR,24,10,0,1,active,2026-08-18T10:00:00+05:30
rtp_ba86c49a,rmt_18090453,long_stay,Long Stay,-538.07,INR,72,25,0,3,active,2026-08-18T10:00:00+05:30
rtp_cde76ec8,rmt_18090453,full_board,Full Board,1004.39,INR,48,25,1,1,active,2026-08-18T10:00:00+05:30
rtp_796d737a,rmt_062dea81,full_board,Full Board,1285.62,INR,72,10,1,1,active,2026-08-18T10:00:00+05:30
rtp_122b2ddd,rmt_062dea81,non_refundable,Non Refundable,-459.15,INR,0,100,0,1,active,2026-08-18T10:00:00+05:30
rtp_7ea334bb,rmt_a1a42253,full_board,Full Board,1767.73,INR,24,25,1,1,active,2026-08-18T10:00:00+05:30
rtp_55e760cc,rmt_a1a42253,non_refundable,Non Refundable,-631.33,INR,0,100,0,1,active,2026-08-18T10:00:00+05:30
rtp_32088ba6,rmt_b2228b31,breakfast_included,Breakfast Included,283.52,INR,24,10,1,1,active,2026-08-18T10:00:00+05:30
rtp_4cd5a6d2,rmt_b2228b31,full_board,Full Board,992.32,INR,72,25,1,1,active,2026-08-18T10:00:00+05:30
rtp_0253c023,rmt_f01a2942,breakfast_included,Breakfast Included,354.40,INR,24,25,1,1,active,2026-08-18T10:00:00+05:30
rtp_b138bb3d,rmt_f01a2942,non_refundable,Non Refundable,-443.00,INR,0,100,0,1,active,2026-08-18T10:00:00+05:30
rtp_f6962f79,rmt_8ca5526e,half_board,Half Board,1020.67,INR,72,0,1,1,active,2026-08-18T10:00:00+05:30
rtp_f5d2594b,rmt_8ca5526e,refundable,Refundable,680.45,INR,72,25,0,1,active,2026-08-18T10:00:00+05:30
rtp_76e19053,rmt_6b804d20,full_board,Full Board,2183.11,INR,48,25,1,1,active,2026-08-18T10:00:00+05:30
