payment_id,booking_id,method,status,authorised_amount,captured_amount,refunded_amount,currency,gateway_reference,idempotency_key,failure_code,authorised_at,captured_at,created_at,updated_at
pay_615694a3,bkg_8d0849e2,upi,failed,12472.81,0.00,0.00,THB,mock_8d0849e2,pidem_df37f4e52c677e3b,idempotency_conflict,2026-05-07T16:45:40+05:30,,2026-05-07T16:45:00+05:30,2026-08-18T10:00:00+05:30
pay_15c17265,bkg_f3f14669,mock,captured,12698.25,12698.25,0.00,AED,mock_f3f14669,pidem_8c92a8b7c33d3521,,2026-05-04T19:45:40+05:30,2026-05-04T19:47:00+05:30,2026-05-04T19:45:00+05:30,2026-08-18T10:00:00+05:30
pay_3e282aca,bkg_9fbe30f1,upi,captured,21803.89,21803.89,0.00,INR,mock_9fbe30f1,pidem_80164db542eb6d3f,,2026-04-28T07:30:40+05:30,2026-04-28T07:32:00+05:30,2026-04-28T07:30:00+05:30,2026-08-18T10:00:00+05:30
pay_0a600043,bkg_71bc2fda,upi,captured,2413.11,2413.11,0.00,INR,mock_71bc2fda,pidem_a7214b69a75d54d1,,2026-04-27T03:00:40+05:30,2026-04-27T03:02:00+05:30,2026-04-27T03:00:00+05:30,2026-08-18T10:00:00+05:30
pay_8cda3c1a,bkg_0fe06257,netbanking,captured,7431.31,7431.31,0.00,INR,mock_0fe06257,pidem_acb94ddd5b2d4b67,,2026-06-29T04:45:40+05:30,2026-06-29T04:47:00+05:30,2026-06-29T04:45:00+05:30,2026-08-18T10:00:00+05:30
pay_98415d16,bkg_1cead6ba,netbanking,captured,832.20,832.20,0.00,AED,mock_1cead6ba,pidem_264bf3af9523189e,,2026-06-20T06:00:40+05:30,2026-06-20T06:02:00+05:30,2026-06-20T06:00:00+05:30,2026-08-18T10:00:00+05:30
pay_c5d93510,bkg_191f5ae9,netbanking,initiated,82959.39,0.00,0.00,INR,mock_191f5ae9,pidem_caff200b0c04f6ac,,,,2026-08-16T23:15:00+05:30,2026-08-18T10:00:00+05:30
pay_2cf951af,bkg_21080582,card,refunded,26062.40,26062.40,26062.40,INR,mock_21080582,pidem_559df0f97ac5863a,,2026-06-13T06:30:40+05:30,2026-06-13T06:32:00+05:30,2026-06-13T06:30:00+05:30,2026-08-18T10:00:00+05:30
pay_c97deef4,bkg_c2904ebe,upi,captured,14624.56,14624.56,0.00,INR,mock_c2904ebe,pidem_75f064543876f2f7,,2026-05-18T01:00:40+05:30,2026-05-18T01:02:00+05:30,2026-05-18T01:00:00+05:30,2026-08-18T10:00:00+05:30
pay_a0365b1a,bkg_195d6ea3,upi,captured,16194.20,16194.20,0.00,INR,mock_195d6ea3,pidem_6343af87e49c9d2b,,2026-07-31T02:45:40+05:30,2026-07-31T02:47:00+05:30,2026-07-31T02:45:00+05:30,2026-08-18T10:00:00+05:30
pay_7b1f3a0a,bkg_b331a12e,upi,refunded,97616.62,97616.62,97616.62,INR,mock_b331a12e,pidem_00ae1fad450b730e,,2026-07-28T02:30:40+05:30,2026-07-28T02:32:00+05:30,2026-07-28T02:30:00+05:30,2026-08-18T10:00:00+05:30
pay_f012416a,bkg_b3f4b8fd,card,captured,16451.08,16451.08,0.00,INR,mock_b3f4b8fd,pidem_af0721494f9b7b63,,2026-05-17T07:30:40+05:30,2026-05-17T07:32:00+05:30,2026-05-17T07:30:00+05:30,2026-08-18T10:00:00+05:30
pay_7a6a717b,bkg_994e397a,wallet,authorised,4378.10,0.00,0.00,INR,mock_994e397a,pidem_349cab5e46fb6885,,2026-08-02T16:45:40+05:30,,2026-08-02T16:45:00+05:30,2026-08-18T10:00:00+05:30
pay_fad2faff,bkg_9377e970,wallet,captured,4465.18,4465.18,0.00,INR,mock_9377e970,pidem_50b5eeb320e40130,,2026-06-16T03:00:40+05:30,2026-06-16T03:02:00+05:30,2026-06-16T03:00:00+05:30,2026-08-18T10:00:00+05:30
pay_ea682a01,bkg_370aa5b3,mock,captured,9719.77,9719.77,0.00,INR,mock_370aa5b3,pidem_6b63411de7a12af0,,2026-05-21T11:30:40+05:30,2026-05-21T11:32:00+05:30,2026-05-21T11:30:00+05:30,2026-08-18T10:00:00+05:30
pay_f69a916a,bkg_74144e7b,netbanking,captured,71355.68,71355.68,0.00,INR,mock_74144e7b,pidem_68064563fc0bb1ff,,2026-07-25T10:30:40+05:30,2026-07-25T10:32:00+05:30,2026-07-25T10:30:00+05:30,2026-08-18T10:00:00+05:30
pay_d32c0aa5,bkg_1d1e89ab,upi,captured,15320.69,15320.69,0.00,INR,mock_1d1e89ab,pidem_b0565bdbf25545c0,,2026-08-09T22:45:40+05:30,2026-08-09T22:47:00+05:30,2026-08-09T22:45:00+05:30,2026-08-18T10:00:00+05:30
pay_24ee3d7f,bkg_144e317c,upi,captured,10594.23,10594.23,0.00,INR,mock_144e317c,pidem_7017e32ee8856205,,2026-06-04T14:15:40+05:30,2026-06-04T14:17:00+05:30,2026-06-04T14:15:00+05:30,2026-08-18T10:00:00+05:30
